,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
2,2,2022-01-01 23:58:48+00:00,Just posted a photo @ Our Tampines Hub https://t.co/QjJN4MJnfB,just posted a photo our tampines hub,0.8571428571428571
3,3,2022-01-01 23:58:29+00:00,Just posted a photo @ Our Tampines Hub https://t.co/QUz8UuK2Sv,just posted a photo our tampines hub,0.8571428571428571
5,5,2022-01-01 23:58:13+00:00,Just posted a photo @ Our Tampines Hub https://t.co/pq9J6zYBuC,just posted a photo our tampines hub,0.8571428571428571
6,6,2022-01-01 23:58:02+00:00,@GGebunny Oh you gym at westgate too,oh you gym at westgate too,0.8333333333333334
14,14,2022-01-01 23:51:54+00:00,@CintaSe25283354 tu la retweet org punya je tu,tu la retweet org punya je tu,0.8571428571428571
25,25,2022-01-01 23:35:42+00:00,"""Microsoft Exchange on-premise servers cannot deliver email starting on January 1st, 2022, due to a ""Year 2022"" bug in the FIP-FS anti-malware scanning engine""

https://t.co/zuWvPIpTKU",microsoft exchange onpremise servers cannot deliver email starting on january 1st 2022 due to a year 2022 bug in the fipfs antimalware scanning engine,0.8571428571428571
63,63,2022-01-01 22:30:57+00:00,"@MrFeralMen Well.. when i started to know the dsmp and knowing quackity, this was my pfp. https://t.co/KG0OQa5uTA",well when i started to know the dsmp and knowing quackity this was my pfp,0.8
65,65,2022-01-01 22:19:08+00:00,"Alright... let's get 2022 started!
#2022 #me #letsgetstarted

#mylifeisfull 
02.01.2022 day 002 @ Singapore / Singapura / 新加坡 / சிங்கப்பூர் https://t.co/SpICmF1Daw",alright lets get 2022 started 02012022 day 002 singapore singapura,0.8571428571428571
84,84,2022-01-01 20:52:47+00:00,Im in bed so…. Oyasumi https://t.co/s7ygtG1F1T,im in bed so oyasumi,0.8
98,98,2022-01-01 20:31:52+00:00,League of legenda skins ples. https://t.co/ODxJ7UkZSS,league of legenda skins ples,0.8
144,44,2022-01-03 23:37:43+00:00,Lots of tags in the thread for avoiding NFTs but yet the biggest bull I know for NFTs is @garyvee,lots of tags in the thread for avoiding nfts but yet the biggest bull i know for nfts is,0.8947368421052632
147,47,2022-01-03 23:36:14+00:00,Just posted a photo @ Johor Bahru https://t.co/q5oWVNTy3k,just posted a photo johor bahru,0.8333333333333334
195,95,2022-01-03 23:01:02+00:00,@maxxthedesigner NOOO get well soon dude!,nooo get well soon dude,0.8
198,98,2022-01-03 22:53:47+00:00,thts right U DO U!!!,thts right u do u,0.8
236,36,2022-01-04 23:14:58+00:00,@barbaarik Aa pic lo tag chesadu ga Nikita,aa pic lo tag chesadu ga nikita,0.8571428571428571
254,54,2022-01-04 22:48:50+00:00,BYE YALL GOING TO SCHOOL,bye yall going to school,0.8
271,71,2022-01-04 22:30:42+00:00,"Burn-My-Windows: ""Set GNOME Shell on Fire!""

https://t.co/S5ZsW6xuMF",burnmywindows set gnome shell on fire,0.8333333333333334
278,78,2022-01-04 22:16:35+00:00,Just posted a photo @ Compassvale Walk https://t.co/watywqjLfE,just posted a photo compassvale walk,0.8333333333333334
279,79,2022-01-04 22:15:13+00:00,Just posted a photo @ Compassvale Walk https://t.co/bZhemYbZUS,just posted a photo compassvale walk,0.8333333333333334
290,90,2022-01-04 21:52:40+00:00,"Here's how we ported Semtech's #LoRaWAN Stack to Apache #NuttX OS... And tested it on PineDio Stack BL604 #RISCV Board

https://t.co/un5yLik0jR",heres how we ported semtechs stack to apache os and tested it on pinedio stack bl604 board,0.875
301,1,2022-01-05 23:59:27+00:00,"""SF startup Bolt just implemented a permanent four-day workweek""

https://t.co/Tp5u92ULss",sf startup bolt just implemented a permanent fourday workweek,0.8888888888888888
310,10,2022-01-05 23:54:50+00:00,"“It turns out that EVO 4 is much more than just an interface for music recording. This thing plans to take over the audio world.” - James Ivey, Production Expert
EVO 4 (SGD179) by Audient USB-C Audio Interface / / https://t.co/jgGm0EoYFR
Picture: @zyablowmedia https://t.co/r9MmhjUJQg",it turns out that evo 4 is much more than just an interface for music recording this thing plans to take over the audio world james ivey production expert evo 4 sgd179 by audient usbc audio interface picture,0.8857142857142857
337,37,2022-01-05 23:39:08+00:00,"It's a good day to be happy. 
Good MEWning ❤️

#MewSuppasit
#Before430
#SeasonOfYou_MewSuppasit 
@MSuppasit https://t.co/hdJ0atMBFE",its a good day to be happy good mewning,0.8888888888888888
341,41,2022-01-05 23:32:41+00:00,Just posted a photo @ Andaz Singapore https://t.co/ss25SYFXGG,just posted a photo andaz singapore,0.8333333333333334
349,49,2022-01-05 23:22:39+00:00,Reminds me of Path skdksksks,reminds me of path skdksksks,0.8
395,95,2022-01-05 22:42:55+00:00,macam nak baling je phone ni,macam nak baling je phone ni,0.8333333333333334
399,99,2022-01-05 22:36:21+00:00,"Asus will release a 17-inch foldable OLED laptop this year

https://t.co/CnxzwzAEiE",asus will release a 17inch foldable oled laptop this year,0.8888888888888888
400,0,2022-01-06 23:59:11+00:00,"@swampert919 @Spideraxe30 They are giving us a void monster lmao. Complains but never reads dev blogs.

Vote Shyvana.",they are giving us a void monster lmao complains but never reads dev blogs vote shyvana,0.875
450,50,2022-01-06 23:22:19+00:00,"At 0720 on 07 Jan 2022

#morningsky #clouds #cloudcatcher #cloud @ Mandai, Singapore https://t.co/e6nC7u1Hvz",at 0720 on 07 jan 2022 mandai singapore,0.8
452,52,2022-01-06 23:21:10+00:00,Istg work waking up so bloody early for this 😩 https://t.co/rBRQmep852,istg work waking up so bloody early for this,0.8888888888888888
458,58,2022-01-06 23:17:39+00:00,@kookpiics Thank You so mush For shareing 😍😍,thank you so mush for shareing,0.8333333333333334
461,61,2022-01-06 23:13:17+00:00,Just posted a photo @ Compassvale Walk https://t.co/LwIDMltxqr,just posted a photo compassvale walk,0.8333333333333334
462,62,2022-01-06 23:11:34+00:00,Just posted a photo @ Compassvale Walk https://t.co/PpsZqKobDG,just posted a photo compassvale walk,0.8333333333333334
479,79,2022-01-06 23:01:31+00:00,@pehmemon3y I accid reported this tweet,i accid reported this tweet,0.8
488,88,2022-01-06 22:42:51+00:00,"What did the serial killers do to the non-binary people? 

Ans: They/Them 
(They slash them) 

😂😂😂😂😂😂😂",what did the serial killers do to the nonbinary people ans theythem they slash them,0.8666666666666667
498,98,2022-01-06 22:27:27+00:00,Happy 2022 talaga cleaned 378 photos from 2020 - 2021 dump. Sana kayo din,happy 2022 talaga cleaned 378 photos from 2020 2021 dump sana kayo din,0.8888888888888888
504,4,2022-01-07 23:52:30+00:00,"don't forget to vote

good MEWning

@MSuppasit 
#MewSuppasit 
#Before430 #SeasonOfYou_MewSuppasit  
#มิวศุภศิษฏ์ https://t.co/8Q7XAnpV75",dont forget to vote good mewning,0.8333333333333334
564,64,2022-01-07 21:07:09+00:00,"Taking these pillows of yums with me.
#asian #muffin 

#mylifeisfull 
08.01.2022 day 008 @ Singapore / Singapura / 新加坡 / சிங்கப்பூர் https://t.co/uc3vfg7W56",taking these pillows of yums with me 08012022 day 008 singapore singapura,0.8
567,67,2022-01-07 20:42:19+00:00,@greenlist_ Greenlist choosing their next winner... #Robinhood https://t.co/aPpzSS1c9w,greenlist choosing their next winner,0.8
570,70,2022-01-07 20:36:27+00:00,@Christian4Peeps @ReyFenixMx You are one of the greatest NWA Worlds Heavyweight Wrestling Champion.Thank You Christian Cage for the wrestling match that are entertaining.Wish you can win the AEW World Champion soon. https://t.co/RzgZM4jPKp,you are one of the greatest nwa worlds heavyweight wrestling championthank you christian cage for the wrestling match that are entertainingwish you can win the aew world champion soon,0.8620689655172413
588,88,2022-01-07 19:37:20+00:00,What...... Dennis now flagged I'm down to ONE dgw player and it's dry fooking January. https://t.co/uKbHWOhsuB,what dennis now flagged im down to one dgw player and its dry fooking january,0.8
614,14,2022-01-08 23:36:28+00:00,Just posted a photo @ Singapore Yishun https://t.co/E5CRVAGfEu,just posted a photo singapore yishun,0.8333333333333334
615,15,2022-01-08 23:35:20+00:00,no igs cause i’m really enjoying my holiday. tp tu la esok dah blk 😔,no igs cause im really enjoying my holiday tp tu la esok dah blk,0.8571428571428571
621,21,2022-01-08 23:27:43+00:00,"Yesterday's breakfast with Mom &amp; Dad... 
Mee Siam x Laksa x Chicken Feet Soup x Rojak Bandung @ Geylang Serai Market https://t.co/xhMUFqk448",yesterdays breakfast with mom and dad mee siam x laksa x chicken feet soup x rojak bandung geylang serai market,0.8
622,22,2022-01-08 23:27:07+00:00,Work work nman ta ah..,work work nman ta ah,0.8
625,25,2022-01-08 23:24:32+00:00,"Maka puli ko,gusto ko lang gid maka sleep nga mag sleep.. Omg I miss home!",maka puli kogusto ko lang gid maka sleep nga mag sleep omg i miss home,0.8
631,31,2022-01-08 23:16:38+00:00,ugh missed out on the fun last night kasi may early flight ngayon 😅🥲,ugh missed out on the fun last night kasi may early flight ngayon,0.8461538461538461
632,32,2022-01-08 23:16:03+00:00,I can live on my own..so I don't think I need someone.. They just need me more than I need them .. Di na ko ya magpa gamit...🤔,i can live on my ownso i dont think i need someone they just need me more than i need them di na ko ya magpa gamit,0.8888888888888888
639,39,2022-01-08 23:10:54+00:00,"Page 9 of 365
Time,condition...
Both of this,too important..
Just give a moment...",page 9 of 365 timecondition both of thistoo important just give a moment,0.8181818181818182
641,41,2022-01-08 23:09:25+00:00,"Wkwkwkwkwk....
Just laughing my self.. https://t.co/J98JTOGSeV",wkwkwkwkwk just laughing my self,0.8
689,89,2022-01-08 18:25:49+00:00,@thebigshill I’ll go to frankel Avenue and drill Mrs TAn,ill go to frankel avenue and drill mrs tan,0.8888888888888888
697,97,2022-01-08 18:10:23+00:00,Better than the slut @ Singapore / Singapura / 新加坡 / சிங்கப்பூர் https://t.co/kRNrAQ9iMd,better than the slut singapore singapura,0.8333333333333334
