,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
103,3,2022-01-03 23:57:02+00:00,"Argentina:
IDH maior q o Brasil
PIB per capita maior q o Brasil
Desemprego menor
% PIB 2021 maior
% Bolsa 2021 maior q B3
% Peso/Dólar melhor q o Real 2021
...
Mas, 
Inflação 2021 maior q o Brasil.

Brasileiro: ""meu Deus, não queremos virar uma Argentina""",argentina idh maior q o brasil pib per capita maior q o brasil desemprego menor pib 2021 maior bolsa 2021 maior q b3 pesodólar melhor q o real 2021 mas inflação 2021 maior q o brasil brasileiro meu deus não queremos virar uma argentina,0.6153846153846154
115,15,2022-01-03 23:52:54+00:00,Good morning twittah,good morning twittah,0.6666666666666666
248,48,2022-01-04 22:50:03+00:00,@bbozotwt Ily bitch bye,ily bitch bye,0.6666666666666666
320,20,2022-01-05 23:45:49+00:00,idk where i’m gg w this 🤨,idk where im gg w this,0.6666666666666666
418,18,2022-01-06 23:46:34+00:00,belah sial kimak,belah sial kimak,0.6666666666666666
447,47,2022-01-06 23:26:00+00:00,Really esa hi hota he .,really esa hi hota he,0.6
451,51,2022-01-06 23:21:11+00:00,@UmamiCellLover Never mind lha ～ ‼️😆,never mind lha,0.6666666666666666
474,74,2022-01-06 23:02:50+00:00,"I'm at Sultan Iskandar CIQ Complex (Johor Bahru Checkpoint) in Johor Bahru, Johor https://t.co/JoywfdTiPn",im at sultan iskandar ciq complex johor bahru checkpoint in johor bahru johor,0.6923076923076923
482,82,2022-01-06 22:48:55+00:00,"@amirulfariq @FikriKun08 @neesely @nuyulhuda @flux_z Too good to be true je rm150 unlimited coverage. Semak balik bang. Mustahil unlimited dgn harga macam tu, ada tu clause awak tak baca habis",too good to be true je rm150 unlimited coverage semak balik bang mustahil unlimited dgn harga macam tu ada tu clause awak tak baca habis,0.625
525,25,2022-01-07 23:21:00+00:00,"@mojokdotco Orang Batak tapi gak bisa bahasa Batak, juga banyak ! 😂😂😂",orang batak tapi gak bisa bahasa batak juga banyak,0.6666666666666666
537,37,2022-01-07 22:39:52+00:00,goodmorning shd i eat mac,goodmorning shd i eat mac,0.6
