,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
1,1,2022-09-26 13:21:06+00:00,I like how the flute kinda syncs with the bumpy ride 😅😅 https://t.co/qvsAsatToO,i like how flute kinda syncs with bumpy ride,0.7777777777777778
18,18,2022-09-26 13:20:49+00:00,"healing, learning &amp; growing 🤍",healing learning amp growing,0.75
45,45,2022-09-26 13:20:25+00:00,@blockchainchick Maybe he is in Ukraine most safest place on earth,maybe he is ukraine most safest place earth,0.75
49,49,2022-09-26 13:20:22+00:00,@FridaGhitis Wow Iran is on fire,wow iran is fire,0.75
52,52,2022-09-26 13:20:19+00:00,@NancyDaffodils @Ash_Chennaite 😂😂😂oh ok da.Ya I remember namma story maraka kudiya story a.She blocked me during BB5 for no reason da.,oh ok da ya i remember namma story maraka kudiya story she blocked me during bb5 no reason da,0.7777777777777778
71,71,2022-09-26 13:19:58+00:00,Alterity Therapeutics Announces Presentation of Wearable Sensor Data from the bioMUSE ... https://t.co/Nu1l7EcYpZ,alterity therapeutics announces presentation wearable sensor data biomuse,0.75
78,78,2022-09-26 13:19:54+00:00,"The first was that the Ukrainian Army couldn't defeat Russia militarily because Russia is too big and Ukraine is too small. The Russian military is much larger and has nuclear weapons than the Ukrainian military.

#russia-ukraine #war #nuclearwar #Putin https://t.co/oM75eIaXc2",first was that ukrainian army couldnt defeat russia militarily because russia is too big ukraine is too small russian military is much larger has nuclear weapons than ukrainian military ukraine,0.7666666666666667
80,80,2022-09-26 13:19:54+00:00,@the_dudelist @Chef_BoyarZwee cant wait to join duuude,cant wait join duuude,0.75
119,119,2022-09-26 13:19:19+00:00,"Bobby Bonilla’s Mets Compensation Deal NFT Sells for $180,000

In the deal that keeps on giving, Bobby Bonilla, the former  MLB  All-Star who is currently receiving a bumper compensation agreement from his former team the New York Mets, has raked in ev https://t.co/UjiYCWDdTD",bobby bonilla s mets compensation deal nft sells 180 000 deal that keeps giving bobby bonilla former mlb all star who is currently receiving bumper compensation agreement his former team new york mets has raked ev,0.7352941176470589
127,127,2022-09-26 13:19:11+00:00,@Krithiga_Selva @NancyDaffodils @intellectaround @Preethiitalks @roshini_ani @Devikum71499890 @BeingHu94216048 @Front_Man13 Ha ha aama sis,ha ha aama sis,0.75
128,128,2022-09-26 13:19:08+00:00,"Where You At, Internacional A'tin? Are you guys up for challenge? 
Drop your music related tags to Hype WYAT song.. (FOR INTERNATIONAL ONLY ). 

🔐 50 REPLIES 
🔐 50 RTS

🎶Play it loud and proud, this disco-pop song #WYATSB19 by #SB19    @SB19Official",where you at internacional atin are you guys up challenge drop your music related tags hype wyat song international only 50 replies 50 rts play it loud proud this disco pop song by,0.7741935483870968
135,135,2022-09-26 13:18:58+00:00,@Inoru42 @disorc Doraemon flying on a red dragon!,doraemon flying red dragon,0.75
143,143,2022-09-26 13:18:50+00:00,"@IAPonomarenko Love those rusty AK47s. All the money meant for the Russian military went to palaces for Putin, London real estate, yachts, Hermes bags, Kiton and Brioni suits, watches, and other more important luxury items.",love those rusty ak47s all money meant russian military went palaces putin london real estate yachts hermes bags kiton brioni suits watches other more important luxury items,0.7692307692307693
154,154,2022-09-26 13:18:39+00:00,"During her hiatus from acting, Diaz married Good Charlotte guitarist Benji Madden in 2015 and had a daughter, Raddix in 2019. https://t.co/6SxE7VdZx6",during her hiatus acting diaz married good charlotte guitarist benji madden 2015 had daughter raddix 2019,0.7142857142857143
157,157,2022-09-26 13:18:37+00:00,@flacqua A twinning resistance curves initiated deeper redacts in trading permutes - the hard of bottoming out or where post-recovery legits the compliance price appeal. [L],twinning resistance curves initiated deeper redacts trading permutes hard bottoming out or where post recovery legits compliance price appeal,0.7894736842105263
159,159,2022-09-26 13:18:36+00:00,"Another Monday in a New Week 🥰
#mondaythoughts #MondayMotivation https://t.co/qhsir4Cb5a",another monday new week,0.75
186,186,2022-09-26 13:18:07+00:00,@gvblvk @FWBESS Gw nge grind tank baru di world of tank,gw nge grind tank baru di world tank,0.75
190,190,2022-09-26 13:18:06+00:00,"Pink monster girly? Gayly? Whatever but it's badass and beyond.

Custom painted Pink Surly ICT with pink camo custom framebag and handlebar harness.

#bikepacking #bikepacker #fatbike #fatbiker #surlybike #surlymakeityourown #surlymoonlander #surlyicecreamtruck https://t.co/WpLWC94a1c",pink monster girly gayly whatever but its badass beyond custom painted pink surly ict with pink camo custom framebag handlebar harness,0.7142857142857143
233,233,2022-09-26 13:17:32+00:00,@alanrslee ada specific set of reasoning ke ? or any 3 reasons,ada specific set reasoning ke or any 3 reasons,0.75
241,241,2022-09-26 13:17:24+00:00,proud of this monkey @divxyaaa ¡ fantastic job u did today and i couldn’t stop smiling when you performed..lau u danceruuuu💙💙,proud this monkey fantastic job u did today i couldn t stop smiling when you performed lau u danceruuuu,0.7368421052631579
248,248,2022-09-26 13:17:19+00:00,"International round-up: Big wins for Xhaka, Hein: https://t.co/Qmi1yIg2mm",international round up big wins xhaka hein,0.7142857142857143
269,269,2022-09-26 13:17:00+00:00,"MicroStrategy just bought another 301 BTC for ~$6m.  Can't stop, won't stop. They now hold ~130k BTC worth ~$4B.",microstrategy just bought another 301 btc 6m cant stop wont stop they now hold 130k btc worth 4b,0.7857142857142857
276,276,2022-09-26 13:16:55+00:00,Having a happy personality with a sad soul is draining,having happy personality with sad soul is draining,0.75
287,287,2022-09-26 13:16:44+00:00,"Stone of Eliat Ring | Eliat Stone Ring | Sterling Silver Ring | Israeli Jewelry | Jewish Jewelry | Adjustable Ring | Devotional Jewelry
 #DevotionalJewelry #EliatStoneRing #SterlingSilverRing #IsraeliJewelry #Jewelry #EastVillageBangles

👉https://t.co/UKDg5tonPB https://t.co/1TTiPrgSDJ",stone eliat ring eliat stone ring sterling silver ring israeli jewelry jewish jewelry adjustable ring devotional jewelry,0.7647058823529411
306,306,2022-09-26 13:16:31+00:00,"Updating each other through IG story now? 🤭😚🤭😚🤭😚 

#ZeeNuNew
#ฃนฃน https://t.co/ERpPyogmf9",updating each other through ig story now,0.7142857142857143
