,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
53,53,2022-09-26 13:20:17+00:00,@torfsrik Dan moet je eens lezen wat ze de pvda noemen.,dan moet je eens lezen wat ze de pvda noemen,0.3
54,54,2022-09-26 13:20:16+00:00,"pls check ASAP..
@pnbindia https://t.co/28wUX4AvjD",pls check asap,0.3333333333333333
103,103,2022-09-26 13:19:33+00:00,"@hzmnrshm Ohh giler ah, kirekan everytime special sale kena prepare awal pagi ah. Fuh! Powerr jeem!",ohh giler ah kirekan everytime special sale kena prepare awal pagi ah fuh powerr jeem,0.3333333333333333
176,176,2022-09-26 13:18:18+00:00,"Persoalannya, siapa yang ajar Alisa lari macam naruto? 🤔 https://t.co/uSFGS13fwK",persoalannya siapa yang ajar alisa lari macam naruto,0.375
214,214,2022-09-26 13:17:48+00:00,Ah pantek mane kunci kereta aku. Tulah letak merata. 🥲,ah pantek mane kunci kereta aku tulah letak merata,0.3333333333333333
297,297,2022-09-26 13:16:36+00:00,@eyliashukaimi @Zulflizzuw Zul ni baik. Kami bukan back up Eylia. Yang baik kami kata baik. Lain la kalau ang kenan hat jahat tu kami takleh kata pa.,zul ni baik kami bukan back up eylia yang baik kami kata baik lain la kalau ang kenan hat jahat tu kami takleh kata pa,0.36
300,300,2022-09-26 13:16:35+00:00,"Blh join sale to ight
Sbb ade orng sudi pinjamkn fb",blh join sale ight sbb ade orng sudi pinjamkn fb,0.3
336,336,2022-09-26 13:16:01+00:00,@elchantr3s Porno bin jamit,porno bin jamit,0.3333333333333333
356,356,2022-09-26 13:15:45+00:00,@u2bee_ km bandar bokep,km bandar bokep,0.3333333333333333
390,390,2022-09-26 13:15:14+00:00,"Todo mundo que eu conheço de fora daqui fica sem entender nada quando eu uso o DIAN

Só existe essa porra aqui em RR memo? Pqp",todo mundo que eu conhe o de fora daqui fica sem entender nada quando eu uso o dian s existe essa porra aqui em rr memo pqp,0.37037037037037035
395,395,2022-09-26 13:15:10+00:00,Currently #270: Yeeling (from Singapore) https://t.co/ehOrT6eV2J,currently yeeling singapore,0.3333333333333333
415,415,2022-09-26 13:14:47+00:00,Me voy a matar,me voy matar,0.3333333333333333
427,427,2022-09-26 13:14:37+00:00,"Nasib recap kalau tak, tak dapat catch up",nasib recap kalau tak tak dapat catch up,0.375
442,442,2022-09-26 13:14:24+00:00,"sp blm di follback?

jgn akun yg isinya tweet/like/rt bokep y",sp blm di follback jgn akun yg isinya tweet like rt bokep y,0.3076923076923077
