,id_column,cleaned_content,label,annotated_at
0,183,"Raw: @GeorgeInTheMeta @GuildOfGuardian Get that shit outta here bro 

It’s GoG morning only
Clean: get that shit outta here bro it s gog morning only",not_standard_english,2022-10-27 15:13:31
1,73,"Raw: #Splatoon3 #NintendoSwitch
im going to go blind staring at the sceen so close https://t.co/cYlq0aQSTO
Clean: im going go blind staring at sceen so close",standard_english,2022-10-27 15:13:40
2,43,"Raw: Completed reading the 2 books by Dr Porntip.A remarkable lady she is.Salute her.😃😃😃 https://t.co/h8lsP31fQ4
Clean: completed reading 2 books by dr porntip remarkable lady she is salute her",standard_english,2022-10-27 15:13:48
3,101,"Raw: Past and future mistake
Lol
Clean: past future mistake lol",not_standard_english,2022-10-27 15:14:01
4,88,"Raw: ZIM Integrated Shipping Services Ltd. Ranks Higher Than 4% of Stocks on Wall Street https://t.co/UrfKepXhAj
Clean: zim integrated shipping services ltd ranks higher than 4 stocks wall street",standard_english,2022-10-27 15:15:02
5,114,"Raw: An uplifting day both to be back visiting @IISS_org HQ at Arundel House in London, and an especially thankful day for those of us fortunate to be paid in Singapore $. https://t.co/RoZjM9zMyg
Clean: uplifting day both be back visiting hq at arundel house london especially thankful day those us fortunate be paid singapore",standard_english,2022-10-27 15:15:10
6,205,"Raw: Idky suddenly theres so many ulcers on my tongue. Pedih
Clean: idky suddenly theres so many ulcers my tongue pedih",not_standard_english,2022-10-27 15:15:17
7,27,"Raw: @rkirubi Thank you so much. Enjoyed that conversation and loved her hope xxxx
Clean: thank you so much enjoyed that conversation loved her hope xxxx",not_standard_english,2022-10-27 15:15:36
8,18,"Raw: @alanrslee ada specific set of reasoning ke ? or any 3 reasons
Clean: ada specific set reasoning ke or any 3 reasons",code-switched,2022-10-27 15:16:10
9,90,"Raw: @LukeGromen Commodities &gt; fiat currency.
Clean: commodities gt fiat currency",not_standard_english,2022-10-27 15:17:19
