,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
36,36,2022-09-26 13:20:30+00:00,@subham_banka @FintwitDecoded Gyaan me hath tang hai apna 😞,gyaan me hath tang hai apna,0.5
40,40,2022-09-26 13:20:28+00:00,@howtobeurgurl @FWBESS Dari dulu,dari dulu,0.5
64,64,2022-09-26 13:20:03+00:00,"@xunziart1 Aston Martin, Caterham, Morgan https://t.co/gGxrvLrSEG",aston martin caterham morgan,0.5
67,67,2022-09-26 13:20:01+00:00,@harislovesirah Wow nk,wow nk,0.5
72,72,2022-09-26 13:19:57+00:00,Try luck … apa posisi aku aply pn xtw https://t.co/5YeVQCW2FC,try luck apa posisi aku aply pn xtw,0.5
79,79,2022-09-26 13:19:54+00:00,"@_PabloFdez_ Para fascistas váis sobraos vosotros, que buscáis aniquilar el derecho a pensar diferente. Detestáis la Democracia si los resultados de las urnas no os gustan, entonces ya no lo llamáis Democracia, lo etiquetáis de asalto o contrarrevolución. Estáis enfermos de totalitarismo.",para fascistas v is sobraos vosotros que busc is aniquilar el derecho pensar diferente detest is la democracia si los resultados de las urnas no os gustan entonces ya no lo llam is democracia lo etiquet is de asalto o contrarrevoluci n est is enfermos de totalitarismo,0.5106382978723404
98,98,2022-09-26 13:19:38+00:00,@syienmerza Congrats manager 👏🏻,congrats manager,0.5
111,111,2022-09-26 13:19:25+00:00,"@IndiHomeCare Dan saya sdh coba clear cache dan cb update, ttp ajah gagal. Udah saya DM ya details nya",dan saya sdh coba clear cache dan cb update ttp ajah gagal udah saya dm ya details nya,0.5
122,122,2022-09-26 13:19:17+00:00,@ManagingBarca @CatalunyaRadio Uruguay in the mud 😭,uruguay mud,0.5
141,141,2022-09-26 13:18:54+00:00,@AvaEnjoYEr13 What happened,what happened,0.5
179,179,2022-09-26 13:18:16+00:00,"Disebabkan sofreezan , aku kena panic attacks, stresss weyh rasa",disebabkan sofreezan aku kena panic attacks stresss weyh rasa,0.5555555555555556
185,185,2022-09-26 13:18:08+00:00,@Bikomfident Hai Pah 🤣😂😂😂😂😂,hai pah,0.5
231,231,2022-09-26 13:17:32+00:00,bs joki codingan ku ga ka?,bs joki codingan ku ga ka,0.5
236,236,2022-09-26 13:17:30+00:00,@LunaClassicHQ Oh shit 🤣🤣🤣🤣🤣🤣😂,oh shit,0.5
257,257,2022-09-26 13:17:12+00:00,@ZohManqele It is a lovely combo and sisazowagqoka nje,it is lovely combo sisazowagqoka nje,0.5
294,294,2022-09-26 13:16:39+00:00,sise kakeni 💩,sise kakeni,0.5
304,304,2022-09-26 13:16:31+00:00,Hello singapore https://t.co/VpER6DV6Rm,hello singapore,0.5
326,326,2022-09-26 13:16:15+00:00,@tn_garciaaa Estuvo fuerte la pesadilla,estuvo fuerte la pesadilla,0.5
329,329,2022-09-26 13:16:11+00:00,Bodoamat dah .,bodoamat dah,0.5
335,335,2022-09-26 13:16:03+00:00,"Why i love her so much because of this. Kadang perangai setan,but sometimes dia macam kakak nasihat kan adik gitu. 🥺🥺 https://t.co/dTfwRQpZib",why i love her so much because this kadang perangai setan but sometimes dia macam kakak nasihat kan adik gitu,0.55
358,358,2022-09-26 13:15:41+00:00,Ey Mara living in this country 😭😭 kuyanyiwa nje,ey mara living this country kuyanyiwa nje,0.5714285714285714
359,359,2022-09-26 13:15:40+00:00,@luvcharliexmila uhm-K https://t.co/vF8BjcSVuK,uhm k,0.5
374,374,2022-09-26 13:15:25+00:00,@sampathkumarvj Link mamz,link mamz,0.5
386,386,2022-09-26 13:15:20+00:00,"@anonc78 @loveria03 Hahaha.Push pa lalabaz

#ChieFilomeno",hahaha push pa lalabaz,0.5
389,389,2022-09-26 13:15:15+00:00,@klutchnn Hahaha let’s see liao lor,hahaha let s see liao lor,0.5
441,441,2022-09-26 13:14:25+00:00,@keeweeeee Maybe migrated?,maybe migrated,0.5
456,456,2022-09-26 13:14:06+00:00,@Jairam_Ramesh Why #INCIndia still talking about Ghulam Nabi Azad 🤔,why still talking about ghulam nabi azad,0.5714285714285714
467,467,2022-09-26 13:13:59+00:00,@0ch_M4m4n Semoga laris jualannya y..,semoga laris jualannya y,0.5
